episodes,rewards,steps
0,-4.625841338746847,200
1,-82.95553384795605,200
2,-71.00893381697841,200
3,-75.38681672425268,200
4,-55.38818326670276,200
5,-59.327437455319306,200
6,-39.39385131272962,200
7,-51.236644838687525,200
8,-60.222994087926075,200
9,-25.78487368651007,200
10,-15.477956432691206,200
11,-23.752112700107773,200
12,-33.71635287145469,200
13,-71.3598606560994,200
14,-31.099508518755027,200
15,-36.793252855538825,200
16,-63.54283017847245,200
17,-48.32004863901172,200
18,-54.91214693756337,200
19,-39.30675633045567,200
20,-57.987023233716435,200
21,-18.418950527976985,200
22,-63.468193681337965,200
23,-6.398003331080419,200
24,-38.45198028957753,200
25,-54.422775274928625,200
26,-48.318974657844805,200
27,-77.49578830469653,200
28,-23.73395808701287,200
29,-57.46507577545297,200
30,-38.99732456752696,200
31,-23.855085139214495,200
32,-49.65405203687291,200
33,-35.64127461984044,200
34,-92.0575944091333,200
35,-40.932355041195414,200
36,-56.66164975863228,200
37,-18.12791473728331,200
38,-20.972075586004856,200
39,-34.82344986660244,200
40,-77.43938440955729,200
41,45.46715335826717,200
42,-66.88716958713594,200
43,7.8161121884352545,200
44,-32.19745344794918,200
45,44.332414295870535,200
46,-92.3057122281412,200
47,-67.85839656659967,200
48,13.161724412190761,200
49,-26.959521604414757,200
50,46.75902240686687,200
51,-18.168477551727158,200
52,-12.213568032892722,200
53,69.623444779342,200
54,33.3553147982265,200
55,113.46037670759111,200
56,79.11300313852618,200
57,-10.30752635516651,200
58,112.2000018704547,200
59,163.8393011599289,200
60,40.007092363804645,200
61,64.27437119255063,200
62,1.2174624848707816,200
63,40.33554708327396,200
64,-15.296146711491804,200
65,54.482749368359734,200
66,-8.37958728671865,200
67,3.0545737885967634,200
68,-6.942259253478936,200
69,7.3674446025459375,200
70,-53.413088890278324,200
71,-23.652499607692818,200
72,-40.53861058859451,200
73,48.97179907901728,200
74,2.4118310208888163,200
75,7.079894292510224,200
76,40.3018246733992,200
77,43.13236445195831,200
78,-55.39907238704875,200
79,79.57189243982882,200
80,61.88792899676437,200
81,14.978585753014288,200
82,-71.53453909996543,200
83,70.98205943334584,200
84,-35.957235026565016,200
85,17.881372308129414,200
86,-41.32370611889828,200
87,4.615542878042897,200
88,18.321509117623737,200
89,19.31666914545683,200
90,23.028517824876765,200
91,78.09300647128805,200
92,22.76363203703121,200
93,94.40931448458564,200
94,106.20881583590266,200
95,12.083017831912764,200
96,6.141519335028677,200
97,2.509743934846113,200
98,113.54634677190278,200
99,44.26917633202803,200
100,-73.35657242557632,200
101,69.58541335888638,200
102,-38.164458044515484,200
103,32.459687773355355,200
104,103.02614380447653,200
105,118.41879006011497,200
106,6.945607273537873,200
107,-14.153185880513783,200
108,85.71221567717588,200
109,66.21546462820716,200
110,124.99637743922142,200
111,71.51576745249831,200
112,35.267491067665716,200
113,54.75526873971004,200
114,134.26727362665474,200
115,106.4440460645883,200
116,31.12018213992872,200
117,85.7589400236728,200
118,66.58998701643452,200
119,100.84234992754604,200
120,60.656907244924575,200
121,161.08104081821278,200
122,-38.12228148278216,200
123,59.46129461037948,200
124,107.05448913262664,200
125,70.07549618206662,200
126,128.94866716526133,200
127,164.76284060287063,200
128,40.15957899385877,200
129,94.37181470596745,200
130,153.1568554606593,200
131,23.531314132126365,200
132,95.63352868164226,200
133,63.872371709056004,200
134,62.44374449853232,200
135,26.694198142363035,200
136,94.12258897327861,200
137,61.68237832510132,200
138,27.894592212668538,200
139,164.30781795235512,200
140,48.49602495068246,200
141,83.56804388563171,200
142,-33.05503504969101,200
143,102.26981140194941,200
144,186.3786078716047,200
145,150.15178433659938,200
146,72.47598167126947,200
147,91.08920826675859,200
148,130.95368490981414,200
149,16.09562420566481,200
150,131.8211884229333,200
151,135.09371751356474,200
152,185.65678142212894,200
153,64.8537002534392,200
154,160.01304565361997,200
155,85.24135255396301,200
156,124.3654318946098,200
157,224.27026405327135,200
158,58.18043980187126,200
159,172.84167263135203,200
160,196.5573617377144,200
161,94.89502741890102,200
162,159.5285700248922,200
163,191.8528556652438,200
164,162.29910281139638,200
165,172.9013620041492,200
166,149.75451675763023,200
167,154.24331678857365,200
168,91.3768873653681,200
169,140.41078657342794,200
170,-3.1796615362025893,200
171,234.598235668205,200
172,143.57668221143877,200
173,149.5751835353495,200
174,208.78406141926854,200
175,92.97820385156909,200
176,124.22633913816591,200
177,158.98359707863398,200
178,152.2895010468226,200
179,140.68757667890034,200
180,209.13508051021023,200
181,151.961881155625,200
182,122.95573125668142,200
183,39.775979212954454,200
184,107.50403169028108,200
185,157.62631762400184,200
186,146.05923883205784,200
187,120.88487782437856,200
188,119.0061241887308,200
189,166.9271816033499,200
190,158.07105599774113,200
191,205.73322325650935,200
192,198.87246839878858,200
193,176.18728013019464,200
194,202.82576107204727,200
195,141.6540765506282,200
196,212.7776447310822,200
197,159.78423203631326,200
198,27.062904772860872,200
199,128.9997240314124,200
200,161.38678439339378,200
201,190.79479045593487,200
202,89.60630230627551,200
203,25.61094605631915,200
204,122.16096370913623,200
205,268.6144270382247,200
206,201.74716147310468,200
207,87.10508044308918,200
208,125.77992852232988,200
209,170.50011877687822,200
210,52.572180896101244,200
211,178.35636090742622,200
212,210.71208300225024,200
213,98.22079081686728,200
214,123.17018161619598,200
215,24.902477162930968,200
216,278.9644868450386,200
217,40.487389947018066,200
218,71.36937905518886,200
219,92.99650535081336,200
220,200.5463850795929,200
221,194.53685579573522,200
222,136.691462020643,200
223,179.25210358316892,200
224,244.55247939306852,200
225,139.60427648348877,200
226,229.38735486019525,200
227,-67.13852258442063,200
228,76.52699688689565,200
229,135.19384440239506,200
230,243.89467105043244,200
231,195.9113613406077,200
232,228.94956729504602,200
233,152.41527977154462,200
234,195.84454828677494,200
235,74.48454518114536,200
236,219.67267503123475,200
237,190.1306879398133,200
238,90.03518236322714,200
239,217.61584905145492,200
240,241.29516805406678,200
241,20.494869560754843,200
242,215.1159918742684,200
243,303.79549623883713,200
244,239.61333165892242,200
245,130.1405923475451,200
246,204.53132335343733,200
247,195.36079718566202,200
248,189.3709478264985,200
249,213.2734542411712,200
250,229.39648606169982,200
251,285.6810921899539,200
252,153.49198628455198,200
253,193.8465662057564,200
254,153.4863655342873,200
255,252.15111030601454,200
256,150.68633215185665,200
257,171.07117531893238,200
258,185.33124742852658,200
259,104.8808264108921,200
260,197.20158911773703,200
261,30.269663712642856,200
262,196.6907519264557,200
263,135.3753291921026,200
264,141.64039377480816,200
265,175.45102939227024,200
266,181.44150738967815,200
267,235.23002385680195,200
268,247.66419649966596,200
269,174.77184458601462,200
270,224.59311448660742,200
271,83.16167855377338,200
272,89.86597905668654,200
273,219.7142575955959,200
274,203.4956837982437,200
275,194.4018810031656,200
276,260.07814916215403,200
277,175.52547552406924,200
278,250.5051663095036,200
279,275.4773975264863,200
280,169.0996557128866,200
281,193.97687151348165,200
282,238.1741983302632,200
283,97.79484595194242,200
284,198.9482909148527,200
285,205.87587546867863,200
286,240.07086965519997,200
287,69.54892730635619,200
288,128.63147872224087,200
289,213.14853427205176,200
290,233.78857244173346,200
291,338.34115391091706,200
292,241.31687629794416,200
293,286.61753784825,200
294,165.49611319114308,200
295,135.3339841613572,200
296,51.90576992933963,200
297,119.82792147343118,200
298,247.65797179858447,200
299,228.28922569846608,200
300,127.98269919601958,200
301,268.3959277536837,200
302,221.28803053058243,200
303,214.47791571449017,200
304,369.71941643106317,200
305,191.8853287607127,200
306,139.52974379134514,200
307,254.48641043876415,200
308,184.27076982373035,200
309,206.44354195588994,200
310,209.65829024240014,200
311,204.330850356562,200
312,258.94663827491433,200
313,312.78430287510616,200
314,412.6784037777557,200
315,308.44413823861305,200
316,164.39997456933776,200
317,227.1191906127841,200
318,195.65590345926043,200
319,246.3237779882151,200
320,169.97450017942907,200
321,238.43283348790453,200
322,280.7751483717984,200
323,252.58722611241518,200
324,245.45398886628436,200
325,363.5020856829205,200
326,270.42592275567495,200
327,282.75721759568603,200
328,242.1967836125883,200
329,225.3695500820427,200
330,410.3977407395756,200
331,276.8609206542167,200
332,194.0345137356139,200
333,247.7727230359687,200
334,286.67686368696536,200
335,126.8913282475955,200
336,307.2880264917268,200
337,171.66486693809549,200
338,134.90777886425923,200
339,137.6993404144052,200
340,306.91662783791867,200
341,209.15455281968613,200
342,350.00224589654306,200
343,295.821644476331,200
344,180.41832667243236,200
345,361.4378492345077,200
346,293.43182587060903,200
347,426.0294312170007,200
348,198.24863818681595,200
349,354.0663839433966,200
350,373.45052033407086,200
351,261.2850765914911,200
352,367.81718849859425,200
353,191.9173681606734,200
354,325.6900358869426,200
355,333.6766789736732,200
356,254.87828585650882,200
357,400.1837898498793,200
358,330.8418866981202,200
359,269.31612375878547,200
360,337.0624153439649,200
361,398.6450784484046,200
362,276.14243892333934,200
363,364.27404218257016,200
364,306.1667149402242,200
365,237.32487349484992,200
366,234.88019821239905,200
367,386.518125239824,200
368,181.78340396548202,200
369,376.9748734787158,200
370,278.6517311646486,200
371,271.34830545652295,200
372,216.65984554770554,200
373,300.2383786317016,200
374,191.27492075560235,200
375,310.6766520920726,200
376,276.9863562098342,200
377,383.22785517967515,200
378,257.0698337923458,200
379,184.62717951626024,200
380,394.83135850277137,200
381,446.5491419691989,200
382,376.0254511455926,200
383,373.4451389576887,200
384,313.23202761417656,200
385,270.0521401154429,200
386,313.9108561128951,200
387,54.895103241031975,200
388,292.0559817750503,200
389,330.0370458432394,200
390,300.24532599587224,200
391,352.7631840332949,200
392,410.1545676805114,200
393,318.46904790204087,200
394,444.23366312591577,200
395,439.45131956173236,200
396,347.2524203567209,200
397,327.72617779698993,200
398,235.8277376695631,200
399,219.0933444876023,200
400,203.39409907446588,200
401,383.083387040442,200
402,217.36655741313078,200
403,304.9454239065334,200
404,227.41241125318922,200
405,329.6284867017494,200
406,380.1171462955371,200
407,348.4762906709632,200
408,309.26560039970815,200
409,417.8070022360194,200
410,362.9237457875993,200
411,238.3808015897189,200
412,417.015359655785,200
413,328.069582703186,200
414,366.5620573218207,200
415,280.48651544038927,200
416,273.43438013471797,200
417,334.7780395955667,200
418,24.365892935193646,200
419,190.55279784152953,200
420,367.2094427632595,200
421,361.4047761108796,200
422,409.85814715928126,200
423,443.7754604290829,200
424,203.54912830473546,200
425,280.75912147300767,200
426,422.2765068248226,200
427,143.83738201195692,200
428,360.30651260539327,200
429,216.048171361823,200
430,454.01358280811303,200
431,274.8406666699537,200
432,372.17166685636073,200
433,340.7165688979137,200
434,255.47351237763922,200
435,411.83380697790795,200
436,376.40800542030354,200
437,406.85208607346016,200
438,448.07913757272354,200
439,357.59087612066264,200
440,325.575083607027,200
441,395.5436766036186,200
442,345.3135392233484,200
443,264.73888602071196,200
444,445.6559807384088,200
445,484.83753721077926,200
446,351.43087298815766,200
447,382.8535702797283,200
448,401.65020840994276,200
449,424.25401951272835,200
450,308.82684568781053,200
451,429.17635984360356,200
452,425.69846349019946,200
453,404.873432626658,200
454,291.8637046592137,200
455,277.29679178857475,200
456,336.5873419829655,200
457,391.11228642045666,200
458,336.687511054754,200
459,376.8159945346568,200
460,307.9207448921521,200
461,288.11995928467627,200
462,309.2613065106987,200
463,443.2570143627184,200
464,374.98899169823056,200
465,191.2881947262075,200
466,382.3384146862243,200
467,458.0332507413159,200
468,406.53518192248174,200
469,354.9288833528176,200
470,470.715542681781,200
471,265.9964130680619,200
472,437.5356058414755,200
473,395.3421624796065,200
474,316.24261477107945,200
475,410.96807544525655,200
476,504.62212192730317,200
477,327.5160229877075,200
478,437.2538198057387,200
479,336.71134418526367,200
480,347.67292217191834,200
481,317.36674804351304,200
482,389.18288244002196,200
483,171.1026082170583,200
484,254.82360604766492,200
485,321.7927219991248,200
486,366.01649491377066,200
487,270.7844639732849,200
488,352.9269091757997,200
489,418.47409931592995,200
490,437.4030220626675,200
491,396.95769291872455,200
492,494.2931429720676,200
493,459.44346015113103,200
494,557.183550948454,200
495,310.9700223870259,200
496,427.5656080818552,200
497,407.5996331920087,200
498,374.53855580303593,200
499,492.91063621553883,200
500,474.476026899659,200
501,417.4956198368023,200
502,437.22096655993846,200
503,438.6340675714961,200
504,152.86281737824388,200
505,322.50130093425247,200
506,390.0408703227281,200
507,331.8362659557275,200
508,379.2641661911836,200
509,331.77629369329384,200
510,566.6229583739037,200
511,431.1622730942023,200
512,438.0837851410107,200
513,459.2213866991721,200
514,401.52360026758237,200
515,475.59355906227177,200
516,489.38963319684063,200
517,354.28647414721695,200
518,499.37736550088334,200
519,80.7074489319063,200
520,481.3039691501421,200
521,226.19928313238344,200
522,314.30936382374745,200
523,209.64069446213747,200
524,339.01469412698344,200
525,205.73485724475617,200
526,464.9721538647762,200
527,420.77589666849457,200
528,365.7362833671173,200
529,400.2402020746812,200
530,469.35471690454796,200
531,505.0378251671336,200
532,373.17788298154505,200
533,517.8789598581236,200
534,528.029780858482,200
535,503.4547412545288,200
