2023-04-15 23:13:38 - r - INFO: - Hyperparameters:
2023-04-15 23:13:38 - r - INFO: - ================================================================================
2023-04-15 23:13:38 - r - INFO: -         Name        	       Value        	        Type        
2023-04-15 23:13:38 - r - INFO: -       env_name      	   HalfCheetah-v3   	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -     new_step_api    	         1          	   <class 'bool'>   
2023-04-15 23:13:38 - r - INFO: -       wrapper       	        None        	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -        render       	         0          	   <class 'bool'>   
2023-04-15 23:13:38 - r - INFO: -     render_mode     	     rgb_array      	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -      algo_name      	        BCQ         	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -         mode        	       train        	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -      mp_backend     	         mp         	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -         seed        	         0          	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -        device       	        cpu         	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -      train_eps      	        500         	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -       test_eps      	        200         	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -       eval_eps      	         10         	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -   eval_per_episode  	         5          	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -      max_steps      	        200         	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -   load_checkpoint   	         0          	   <class 'bool'>   
2023-04-15 23:13:38 - r - INFO: -      load_path      	        None        	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -       show_fig      	         0          	   <class 'bool'>   
2023-04-15 23:13:38 - r - INFO: -       save_fig      	         1          	   <class 'bool'>   
2023-04-15 23:13:38 - r - INFO: -      n_workers      	         1          	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -  critic_hidden_dims 	     [400, 300]     	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -  actor_hidden_dims  	     [400, 300]     	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -   vae_hidden_dims   	     [750, 750]     	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -      critic_lr      	       0.001        	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: -       actor_lr      	       0.001        	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: -        vae_lr       	       0.001        	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: -      batch_size     	        128         	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -        gamma        	        0.99        	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: -         tau         	       0.005        	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: -        lmbda        	        0.75        	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: -         phi         	        0.05        	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: -     iters_per_ep    	         10         	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -     buffer_size     	       100000       	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: - start_learn_buffer_size	       1000.0       	  <class 'float'>   
2023-04-15 23:13:38 - r - INFO: - collect_explore_data	         0          	   <class 'bool'>   
2023-04-15 23:13:38 - r - INFO: - behavior_agent_name 	        DDPG        	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: - behavior_agent_parameters_path	 /behave_param.yaml 	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: - behavior_policy_path	 /behaviour_models  	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -     collect_eps     	        500         	   <class 'int'>    
2023-04-15 23:13:38 - r - INFO: -       traj_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-231338/traj	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -       task_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-231338	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -       res_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-231338/results	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -       log_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-231338/logs	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: -      video_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-231338/videos	   <class 'str'>    
2023-04-15 23:13:38 - r - INFO: - ================================================================================
2023-04-15 23:13:38 - r - INFO: - action_bound: 1.0
2023-04-15 23:13:38 - r - INFO: - n_states: 17, n_actions: 6
2023-04-15 23:13:38 - r - INFO: - Start training!
2023-04-15 23:13:38 - r - INFO: - Env: HalfCheetah-v3, Algorithm: BCQ, Device: cpu
2023-04-15 23:13:39 - r - INFO: - Episode: 1/500, Reward: -104.603, Step: 200
2023-04-15 23:13:40 - r - INFO: - Episode: 2/500, Reward: -39.741, Step: 200
2023-04-15 23:13:40 - r - INFO: - Episode: 3/500, Reward: -49.556, Step: 200
2023-04-15 23:13:40 - r - INFO: - Episode: 4/500, Reward: -61.941, Step: 200
2023-04-15 23:13:41 - r - INFO: - Episode: 5/500, Reward: 11.897, Step: 200
2023-04-15 23:13:43 - r - INFO: - Current episode 5 has the best eval reward: 88.822
2023-04-15 23:13:43 - r - INFO: - Episode: 6/500, Reward: -78.421, Step: 200
2023-04-15 23:13:44 - r - INFO: - Episode: 7/500, Reward: -38.330, Step: 200
2023-04-15 23:13:44 - r - INFO: - Episode: 8/500, Reward: -74.132, Step: 200
2023-04-15 23:13:45 - r - INFO: - Episode: 9/500, Reward: 370.616, Step: 200
2023-04-15 23:13:45 - r - INFO: - Episode: 10/500, Reward: -35.891, Step: 200
2023-04-15 23:13:47 - r - INFO: - Episode: 11/500, Reward: -65.245, Step: 200
2023-04-15 23:13:48 - r - INFO: - Episode: 12/500, Reward: 239.769, Step: 200
2023-04-15 23:13:48 - r - INFO: - Episode: 13/500, Reward: 258.632, Step: 200
2023-04-15 23:13:49 - r - INFO: - Episode: 14/500, Reward: 86.774, Step: 200
2023-04-15 23:13:49 - r - INFO: - Episode: 15/500, Reward: -61.515, Step: 200
2023-04-15 23:13:51 - r - INFO: - Current episode 15 has the best eval reward: 130.620
2023-04-15 23:13:52 - r - INFO: - Episode: 16/500, Reward: 18.838, Step: 200
2023-04-15 23:13:52 - r - INFO: - Episode: 17/500, Reward: -30.163, Step: 200
2023-04-15 23:13:53 - r - INFO: - Episode: 18/500, Reward: 67.471, Step: 200
2023-04-15 23:13:53 - r - INFO: - Episode: 19/500, Reward: 65.101, Step: 200
2023-04-15 23:13:54 - r - INFO: - Episode: 20/500, Reward: 142.675, Step: 200
2023-04-15 23:13:56 - r - INFO: - Current episode 20 has the best eval reward: 156.188
2023-04-15 23:13:56 - r - INFO: - Episode: 21/500, Reward: -81.980, Step: 200
2023-04-15 23:13:57 - r - INFO: - Episode: 22/500, Reward: 136.050, Step: 200
2023-04-15 23:13:57 - r - INFO: - Episode: 23/500, Reward: 245.281, Step: 200
2023-04-15 23:13:58 - r - INFO: - Episode: 24/500, Reward: 278.141, Step: 200
2023-04-15 23:13:58 - r - INFO: - Episode: 25/500, Reward: 106.684, Step: 200
2023-04-15 23:14:01 - r - INFO: - Episode: 26/500, Reward: 67.427, Step: 200
2023-04-15 23:14:01 - r - INFO: - Episode: 27/500, Reward: 339.741, Step: 200
2023-04-15 23:14:02 - r - INFO: - Episode: 28/500, Reward: 387.277, Step: 200
2023-04-15 23:14:02 - r - INFO: - Episode: 29/500, Reward: 249.897, Step: 200
2023-04-15 23:14:03 - r - INFO: - Episode: 30/500, Reward: 194.636, Step: 200
2023-04-15 23:14:05 - r - INFO: - Current episode 30 has the best eval reward: 202.806
2023-04-15 23:14:05 - r - INFO: - Episode: 31/500, Reward: 302.070, Step: 200
2023-04-15 23:14:06 - r - INFO: - Episode: 32/500, Reward: 39.822, Step: 200
2023-04-15 23:14:06 - r - INFO: - Episode: 33/500, Reward: 318.169, Step: 200
2023-04-15 23:14:07 - r - INFO: - Episode: 34/500, Reward: 109.926, Step: 200
2023-04-15 23:14:07 - r - INFO: - Episode: 35/500, Reward: 417.033, Step: 200
2023-04-15 23:14:10 - r - INFO: - Episode: 36/500, Reward: -111.540, Step: 200
2023-04-15 23:14:10 - r - INFO: - Episode: 37/500, Reward: 516.953, Step: 200
2023-04-15 23:14:11 - r - INFO: - Episode: 38/500, Reward: 98.082, Step: 200
2023-04-15 23:14:11 - r - INFO: - Episode: 39/500, Reward: 328.147, Step: 200
2023-04-15 23:14:12 - r - INFO: - Episode: 40/500, Reward: -43.058, Step: 200
2023-04-15 23:14:14 - r - INFO: - Current episode 40 has the best eval reward: 307.591
2023-04-15 23:14:15 - r - INFO: - Episode: 41/500, Reward: 49.889, Step: 200
2023-04-15 23:14:15 - r - INFO: - Episode: 42/500, Reward: 79.003, Step: 200
2023-04-15 23:14:16 - r - INFO: - Episode: 43/500, Reward: -52.465, Step: 200
2023-04-15 23:14:16 - r - INFO: - Episode: 44/500, Reward: 600.985, Step: 200
2023-04-15 23:14:17 - r - INFO: - Episode: 45/500, Reward: 159.730, Step: 200
2023-04-15 23:14:19 - r - INFO: - Episode: 46/500, Reward: 52.419, Step: 200
2023-04-15 23:14:19 - r - INFO: - Episode: 47/500, Reward: 358.568, Step: 200
2023-04-15 23:14:20 - r - INFO: - Episode: 48/500, Reward: 190.788, Step: 200
2023-04-15 23:14:20 - r - INFO: - Episode: 49/500, Reward: 635.937, Step: 200
