2023-04-15 23:30:13 - r - INFO: - Hyperparameters:
2023-04-15 23:30:13 - r - INFO: - ================================================================================
2023-04-15 23:30:13 - r - INFO: -         Name        	       Value        	        Type        
2023-04-15 23:30:13 - r - INFO: -       env_name      	   HalfCheetah-v3   	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -     new_step_api    	         1          	   <class 'bool'>   
2023-04-15 23:30:13 - r - INFO: -       wrapper       	        None        	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -        render       	         0          	   <class 'bool'>   
2023-04-15 23:30:13 - r - INFO: -     render_mode     	     rgb_array      	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -      algo_name      	        BCQ         	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -         mode        	       train        	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -      mp_backend     	         mp         	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -         seed        	         0          	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -        device       	        cpu         	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -      train_eps      	        500         	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -       test_eps      	        200         	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -       eval_eps      	         10         	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -   eval_per_episode  	         5          	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -      max_steps      	        200         	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -   load_checkpoint   	         0          	   <class 'bool'>   
2023-04-15 23:30:13 - r - INFO: -      load_path      	        None        	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -       show_fig      	         0          	   <class 'bool'>   
2023-04-15 23:30:13 - r - INFO: -       save_fig      	         1          	   <class 'bool'>   
2023-04-15 23:30:13 - r - INFO: -      n_workers      	         1          	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -  critic_hidden_dims 	     [400, 300]     	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -  actor_hidden_dims  	     [400, 300]     	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -   vae_hidden_dims   	     [750, 750]     	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -      critic_lr      	       0.001        	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: -       actor_lr      	       0.001        	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: -        vae_lr       	       0.001        	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: -      batch_size     	        128         	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -        gamma        	        0.99        	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: -         tau         	       0.005        	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: -        lmbda        	        0.75        	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: -         phi         	        0.05        	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: -     iters_per_ep    	         10         	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -     buffer_size     	       100000       	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: - start_learn_buffer_size	       1000.0       	  <class 'float'>   
2023-04-15 23:30:13 - r - INFO: - collect_explore_data	         1          	   <class 'bool'>   
2023-04-15 23:30:13 - r - INFO: - behavior_agent_name 	        DDPG        	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: - behavior_agent_parameters_path	 /behave_param.yaml 	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: - behavior_policy_path	 /behaviour_models  	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -     collect_eps     	        500         	   <class 'int'>    
2023-04-15 23:30:13 - r - INFO: -       traj_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-233013/traj	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -       task_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-233013	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -       res_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-233013/results	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -       log_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-233013/logs	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: -      video_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_BCQ_20230415-233013/videos	   <class 'str'>    
2023-04-15 23:30:13 - r - INFO: - ================================================================================
2023-04-15 23:30:14 - r - INFO: - action_bound: 1.0
2023-04-15 23:30:14 - r - INFO: - n_states: 17, n_actions: 6
2023-04-15 23:30:14 - r - INFO: - Start training!
2023-04-15 23:30:14 - r - INFO: - Env: HalfCheetah-v3, Algorithm: BCQ, Device: cpu
2023-04-15 23:30:15 - r - INFO: - Episode: 1/500, Reward: -65.504, Step: 200
2023-04-15 23:30:16 - r - INFO: - Episode: 2/500, Reward: -29.261, Step: 200
2023-04-15 23:30:16 - r - INFO: - Episode: 3/500, Reward: -0.267, Step: 200
2023-04-15 23:30:16 - r - INFO: - Episode: 4/500, Reward: -0.881, Step: 200
2023-04-15 23:30:17 - r - INFO: - Episode: 5/500, Reward: -1.497, Step: 200
2023-04-15 23:30:19 - r - INFO: - Current episode 5 has the best eval reward: -0.845
2023-04-15 23:30:19 - r - INFO: - Episode: 6/500, Reward: 0.386, Step: 200
2023-04-15 23:30:20 - r - INFO: - Episode: 7/500, Reward: -0.598, Step: 200
2023-04-15 23:30:20 - r - INFO: - Episode: 8/500, Reward: -1.546, Step: 200
2023-04-15 23:30:21 - r - INFO: - Episode: 9/500, Reward: 0.483, Step: 200
2023-04-15 23:30:21 - r - INFO: - Episode: 10/500, Reward: -0.035, Step: 200
2023-04-15 23:30:23 - r - INFO: - Current episode 10 has the best eval reward: -0.192
2023-04-15 23:30:24 - r - INFO: - Episode: 11/500, Reward: -0.763, Step: 200
2023-04-15 23:30:24 - r - INFO: - Episode: 12/500, Reward: -1.550, Step: 200
2023-04-15 23:30:25 - r - INFO: - Episode: 13/500, Reward: -0.465, Step: 200
2023-04-15 23:30:25 - r - INFO: - Episode: 14/500, Reward: -0.437, Step: 200
2023-04-15 23:30:25 - r - INFO: - Episode: 15/500, Reward: -1.290, Step: 200
2023-04-15 23:30:28 - r - INFO: - Episode: 16/500, Reward: -1.559, Step: 200
2023-04-15 23:30:29 - r - INFO: - Episode: 17/500, Reward: -1.377, Step: 200
2023-04-15 23:30:29 - r - INFO: - Episode: 18/500, Reward: -0.895, Step: 200
2023-04-15 23:30:30 - r - INFO: - Episode: 19/500, Reward: -1.332, Step: 200
2023-04-15 23:30:30 - r - INFO: - Episode: 20/500, Reward: -1.576, Step: 200
2023-04-15 23:30:33 - r - INFO: - Episode: 21/500, Reward: 0.074, Step: 200
2023-04-15 23:30:34 - r - INFO: - Episode: 22/500, Reward: -1.010, Step: 200
2023-04-15 23:30:34 - r - INFO: - Episode: 23/500, Reward: -1.751, Step: 200
2023-04-15 23:30:34 - r - INFO: - Episode: 24/500, Reward: -0.836, Step: 200
2023-04-15 23:30:35 - r - INFO: - Episode: 25/500, Reward: -2.249, Step: 200
2023-04-15 23:30:38 - r - INFO: - Episode: 26/500, Reward: 0.071, Step: 200
2023-04-15 23:30:38 - r - INFO: - Episode: 27/500, Reward: -3.229, Step: 200
2023-04-15 23:30:38 - r - INFO: - Episode: 28/500, Reward: -0.286, Step: 200
2023-04-15 23:30:39 - r - INFO: - Episode: 29/500, Reward: -2.643, Step: 200
2023-04-15 23:30:39 - r - INFO: - Episode: 30/500, Reward: 498.759, Step: 200
2023-04-15 23:30:42 - r - INFO: - Current episode 30 has the best eval reward: 246.780
2023-04-15 23:30:42 - r - INFO: - Episode: 31/500, Reward: 5.667, Step: 200
2023-04-15 23:30:43 - r - INFO: - Episode: 32/500, Reward: 0.097, Step: 200
2023-04-15 23:30:43 - r - INFO: - Episode: 33/500, Reward: 0.141, Step: 200
2023-04-15 23:30:44 - r - INFO: - Episode: 34/500, Reward: 12.801, Step: 200
2023-04-15 23:30:44 - r - INFO: - Episode: 35/500, Reward: 7.233, Step: 200
2023-04-15 23:30:47 - r - INFO: - Episode: 36/500, Reward: -1.059, Step: 200
2023-04-15 23:30:48 - r - INFO: - Episode: 37/500, Reward: 17.507, Step: 200
2023-04-15 23:30:49 - r - INFO: - Episode: 38/500, Reward: 411.619, Step: 200
2023-04-15 23:30:49 - r - INFO: - Episode: 39/500, Reward: 28.907, Step: 200
2023-04-15 23:30:50 - r - INFO: - Episode: 40/500, Reward: 482.740, Step: 200
2023-04-15 23:30:52 - r - INFO: - Current episode 40 has the best eval reward: 299.428
2023-04-15 23:30:53 - r - INFO: - Episode: 41/500, Reward: 461.557, Step: 200
2023-04-15 23:30:53 - r - INFO: - Episode: 42/500, Reward: 184.757, Step: 200
2023-04-15 23:30:53 - r - INFO: - Episode: 43/500, Reward: 292.471, Step: 200
2023-04-15 23:30:54 - r - INFO: - Episode: 44/500, Reward: 525.034, Step: 200
2023-04-15 23:30:55 - r - INFO: - Episode: 45/500, Reward: 241.166, Step: 200
2023-04-15 23:30:57 - r - INFO: - Current episode 45 has the best eval reward: 502.567
2023-04-15 23:30:57 - r - INFO: - Episode: 46/500, Reward: 375.532, Step: 200
2023-04-15 23:30:58 - r - INFO: - Episode: 47/500, Reward: 593.810, Step: 200
2023-04-15 23:30:58 - r - INFO: - Episode: 48/500, Reward: 435.210, Step: 200
2023-04-15 23:30:59 - r - INFO: - Episode: 49/500, Reward: 273.950, Step: 200
